Customer_Age,Education_Level,Income_Category,Months_on_book
43,Graduate,$80K - $120K,37
41,High School,$80K - $120K,36
48,High School,$120K +,36
45,Graduate,Less than $40K,36
44,Graduate,$60K - $80K,37
50,Doctorate,Unknown,36
48,Graduate,$40K - $60K,36
45,College,$60K - $80K,33
38,High School,Less than $40K,30
46,High School,$40K - $60K,39
50,High School,$120K +,45
45,Uneducated,$60K - $80K,36
47,Post-Graduate,$60K - $80K,37
48,College,$60K - $80K,33
35,Uneducated,$60K - $80K,22
36,High School,Unknown,24
47,Graduate,$80K - $120K,36
43,Uneducated,Less than $40K,36
38,Graduate,Unknown,31
49,High School,Less than $40K,43
45,High School,$80K - $120K,34
48,Graduate,$80K - $120K,37
34,High School,$60K - $80K,26
44,Post-Graduate,Less than $40K,36
47,Post-Graduate,$80K - $120K,36
43,Graduate,$40K - $60K,29
50,Graduate,Less than $40K,36
38,Uneducated,Less than $40K,30
43,Graduate,$120K +,31
46,Graduate,Less than $40K,40
49,Uneducated,$60K - $80K,44
49,Graduate,$120K +,39
41,High School,$60K - $80K,33
40,High School,Less than $40K,35
43,Graduate,$80K - $120K,26
46,Graduate,$60K - $80K,39
41,Uneducated,$60K - $80K,25
49,Uneducated,$60K - $80K,32
46,Uneducated,$80K - $120K,38
50,Uneducated,Less than $40K,43
40,Graduate,$80K - $120K,24
50,Graduate,$40K - $60K,44
47,Graduate,Less than $40K,36
36,Graduate,$40K - $60K,36
47,Graduate,Less than $40K,34
46,Graduate,Less than $40K,41
46,High School,$120K +,36
40,Graduate,Less than $40K,27
49,Post-Graduate,Unknown,44
45,High School,$40K - $60K,34
49,Graduate,$40K - $60K,41
40,High School,Less than $40K,36
41,Graduate,Less than $40K,33
37,Graduate,$80K - $120K,26
43,Post-Graduate,$80K - $120K,30
39,College,Less than $40K,25
42,Uneducated,$40K - $60K,36
42,Graduate,$60K - $80K,28
43,College,$80K - $120K,39
46,Uneducated,$40K - $60K,27
48,College,$80K - $120K,42
48,High School,$120K +,36
47,Graduate,$40K - $60K,36
42,College,$60K - $80K,34
41,Graduate,$60K - $80K,36
39,Graduate,$60K - $80K,31
47,High School,$40K - $60K,36
49,Post-Graduate,$60K - $80K,38
42,Graduate,Less than $40K,23
44,Uneducated,$60K - $80K,36
49,Graduate,Less than $40K,38
45,Graduate,$80K - $120K,32
44,Graduate,$80K - $120K,33
44,College,Less than $40K,37
40,High School,$40K - $60K,33
39,Uneducated,$60K - $80K,36
42,High School,$80K - $120K,30
46,Graduate,Less than $40K,36
50,College,Less than $40K,36
46,Graduate,$40K - $60K,22
47,Uneducated,$40K - $60K,36
40,Doctorate,$60K - $80K,34
48,Graduate,$40K - $60K,36
48,Graduate,$80K - $120K,41
50,Graduate,$80K - $120K,44
49,High School,$80K - $120K,39
39,Uneducated,Unknown,29
41,High School,Less than $40K,31
47,Uneducated,$80K - $120K,36
46,Post-Graduate,Less than $40K,28
35,Post-Graduate,$80K - $120K,29
50,Graduate,$60K - $80K,44
43,Uneducated,Less than $40K,24
37,Post-Graduate,Less than $40K,25
42,Doctorate,Unknown,23
41,Uneducated,$120K +,29
40,High School,$40K - $60K,36
46,Uneducated,$80K - $120K,36
37,Graduate,$40K - $60K,29
46,Graduate,$80K - $120K,35
46,Post-Graduate,Less than $40K,37
41,Graduate,$80K - $120K,29
48,High School,$40K - $60K,40
49,Graduate,$40K - $60K,33
44,Graduate,$80K - $120K,35
39,College,Less than $40K,36
48,High School,$80K - $120K,36
47,High School,$80K - $120K,42
45,Graduate,Unknown,35
48,College,$40K - $60K,41
41,Uneducated,$60K - $80K,36
34,Post-Graduate,$80K - $120K,26
45,Uneducated,Unknown,36
38,Uneducated,Less than $40K,32
41,Graduate,$40K - $60K,31
33,Graduate,$60K - $80K,13
47,College,Less than $40K,37
49,Graduate,$40K - $60K,41
26,Graduate,Less than $40K,13
46,High School,$80K - $120K,42
48,High School,$120K +,31
42,Uneducated,$60K - $80K,32
37,Graduate,$80K - $120K,28
50,High School,$40K - $60K,44
41,High School,$40K - $60K,31
48,Graduate,Less than $40K,40
46,College,$80K - $120K,41
39,Doctorate,$40K - $60K,28
45,Graduate,$60K - $80K,25
47,Graduate,$60K - $80K,37
41,High School,$40K - $60K,32
48,College,$80K - $120K,36
50,Graduate,Less than $40K,36
39,College,Less than $40K,36
47,Graduate,$80K - $120K,37
44,Graduate,$120K +,33
43,Post-Graduate,Less than $40K,37
42,Uneducated,Unknown,31
48,College,$60K - $80K,29
44,Graduate,$40K - $60K,34
45,Graduate,$60K - $80K,30
39,Graduate,$80K - $120K,34
40,College,$80K - $120K,25
26,Graduate,$40K - $60K,13
46,Graduate,$60K - $80K,38
44,High School,$60K - $80K,32
43,Uneducated,$120K +,24
46,College,$80K - $120K,36
40,High School,$60K - $80K,36
44,Graduate,$60K - $80K,28
47,Doctorate,Less than $40K,35
47,Doctorate,$60K - $80K,36
50,High School,Less than $40K,43
50,Graduate,$80K - $120K,37
49,Uneducated,$80K - $120K,40
46,Doctorate,Less than $40K,41
42,Uneducated,$80K - $120K,36
45,High School,Less than $40K,33
45,Uneducated,Less than $40K,38
44,Doctorate,Less than $40K,38
45,Doctorate,$80K - $120K,40
31,Uneducated,$40K - $60K,22
34,Graduate,Less than $40K,24
35,College,Unknown,28
44,Graduate,Less than $40K,36
50,Graduate,$80K - $120K,45
33,Post-Graduate,$80K - $120K,25
50,Graduate,$60K - $80K,45
26,College,Less than $40K,36
42,Graduate,Less than $40K,33
44,Graduate,Unknown,36
38,High School,Unknown,29
39,Post-Graduate,$40K - $60K,28
45,Graduate,Less than $40K,31
42,College,$60K - $80K,28
44,College,Less than $40K,25
37,Graduate,Unknown,24
37,Graduate,$80K - $120K,21
36,Graduate,Less than $40K,24
43,College,$60K - $80K,28
46,Graduate,$40K - $60K,32
43,Graduate,Less than $40K,33
50,High School,$60K - $80K,41
43,Graduate,$40K - $60K,36
41,Graduate,$80K - $120K,26
48,Post-Graduate,$60K - $80K,39
35,Graduate,$80K - $120K,24
50,Uneducated,$80K - $120K,36
45,College,Less than $40K,35
34,Uneducated,$60K - $80K,36
46,Graduate,$60K - $80K,35
48,Uneducated,$60K - $80K,35
39,Doctorate,$60K - $80K,29
43,Graduate,$120K +,33
38,High School,$80K - $120K,36
49,High School,Less than $40K,43
46,Post-Graduate,$40K - $60K,40
44,Uneducated,Less than $40K,36
44,College,$80K - $120K,35
48,High School,$80K - $120K,42
45,Doctorate,Less than $40K,36
41,Post-Graduate,$60K - $80K,32
46,High School,Less than $40K,35
40,College,Less than $40K,35
33,Doctorate,$60K - $80K,28
37,Graduate,$60K - $80K,30
49,Uneducated,$80K - $120K,41
50,Graduate,$80K - $120K,42
48,College,$60K - $80K,37
47,College,$120K +,35
41,Uneducated,$80K - $120K,24
40,Graduate,$40K - $60K,25
49,Post-Graduate,$40K - $60K,36
46,Graduate,$40K - $60K,41
36,High School,Less than $40K,36
38,High School,$80K - $120K,23
50,Graduate,$80K - $120K,36
39,Uneducated,$40K - $60K,32
38,College,$80K - $120K,23
44,College,Less than $40K,39
43,High School,$80K - $120K,32
46,Uneducated,$80K - $120K,28
39,Graduate,Less than $40K,26
42,Graduate,Less than $40K,26
43,College,Less than $40K,23
47,High School,Unknown,36
39,College,$40K - $60K,24
50,Uneducated,$60K - $80K,45
43,High School,$60K - $80K,36
42,High School,$80K - $120K,36
42,College,$80K - $120K,34
40,Graduate,Less than $40K,28
48,Uneducated,$80K - $120K,37
33,High School,Less than $40K,36
39,Graduate,Unknown,29
36,College,$40K - $60K,25
43,Uneducated,$60K - $80K,24
42,Graduate,$60K - $80K,36
49,Doctorate,$60K - $80K,44
45,High School,$40K - $60K,36
29,High School,$80K - $120K,15
50,Post-Graduate,$80K - $120K,40
50,Uneducated,Less than $40K,37
46,Doctorate,$80K - $120K,34
46,College,$120K +,36
43,Graduate,$40K - $60K,33
35,High School,$40K - $60K,21
35,Doctorate,$40K - $60K,23
36,High School,Less than $40K,36
43,Doctorate,$60K - $80K,35
39,High School,$40K - $60K,20
47,Post-Graduate,Less than $40K,36
30,High School,Less than $40K,23
40,Graduate,$120K +,30
36,Post-Graduate,Less than $40K,23
41,High School,$60K - $80K,36
30,High School,$60K - $80K,17
46,Uneducated,$60K - $80K,34
29,Post-Graduate,$40K - $60K,19
37,Uneducated,Less than $40K,27
31,Graduate,$40K - $60K,21
45,Uneducated,$80K - $120K,41
44,Graduate,$40K - $60K,27
32,Graduate,Less than $40K,36
42,Uneducated,Less than $40K,35
38,College,Less than $40K,25
37,High School,$40K - $60K,36
48,Graduate,$40K - $60K,42
43,Graduate,Unknown,36
37,High School,$60K - $80K,26
34,High School,$60K - $80K,28
46,Graduate,Unknown,36
46,Graduate,$80K - $120K,38
38,College,Less than $40K,25
31,Graduate,Less than $40K,22
46,Graduate,Less than $40K,28
47,High School,$60K - $80K,36
47,Graduate,Less than $40K,36
47,Uneducated,$60K - $80K,36
47,Graduate,$80K - $120K,41
42,College,$60K - $80K,29
41,College,$80K - $120K,34
49,Post-Graduate,$40K - $60K,41
46,Uneducated,$120K +,36
48,Doctorate,Less than $40K,39
39,College,Less than $40K,22
41,Uneducated,$80K - $120K,33
39,Graduate,Unknown,31
39,Uneducated,Less than $40K,35
44,Uneducated,Less than $40K,24
26,Graduate,$40K - $60K,20
47,High School,$60K - $80K,33
47,High School,$60K - $80K,34
43,Post-Graduate,Unknown,36
39,College,$60K - $80K,35
34,Uneducated,$40K - $60K,28
47,Doctorate,$80K - $120K,36
42,Graduate,Unknown,33
50,Graduate,$80K - $120K,35
43,High School,$60K - $80K,36
44,High School,Less than $40K,36
34,Graduate,$40K - $60K,26
49,High School,Unknown,40
47,Graduate,$60K - $80K,36
30,Graduate,Unknown,13
39,High School,$40K - $60K,29
44,Graduate,$80K - $120K,35
46,Graduate,$60K - $80K,36
35,High School,$80K - $120K,25
39,College,Less than $40K,31
40,Graduate,Less than $40K,29
35,Uneducated,Less than $40K,36
42,High School,$40K - $60K,35
46,High School,Less than $40K,40
46,Uneducated,$40K - $60K,35
26,Graduate,Unknown,19
46,High School,$60K - $80K,35
32,High School,$40K - $60K,24
37,Uneducated,Less than $40K,18
33,High School,Unknown,29
42,College,$80K - $120K,32
33,Post-Graduate,$80K - $120K,22
45,Graduate,Less than $40K,39
38,High School,Unknown,32
32,Graduate,Less than $40K,19
43,Graduate,Less than $40K,37
42,Uneducated,$60K - $80K,30
30,Graduate,$80K - $120K,19
43,Uneducated,Less than $40K,39
46,High School,$40K - $60K,36
44,College,$40K - $60K,33
45,High School,Unknown,39
37,Graduate,$40K - $60K,31
48,High School,$80K - $120K,39
37,College,$40K - $60K,30
39,Uneducated,$60K - $80K,22
41,Graduate,$120K +,32
34,Graduate,$80K - $120K,36
40,Post-Graduate,$80K - $120K,36
45,Graduate,$60K - $80K,33
48,College,Less than $40K,44
34,High School,$40K - $60K,13
49,High School,$60K - $80K,36
34,Uneducated,$80K - $120K,36
40,Graduate,$120K +,27
49,College,Unknown,41
41,High School,Less than $40K,36
46,Graduate,Less than $40K,36
46,Graduate,$60K - $80K,33
30,Graduate,$60K - $80K,36
50,Doctorate,$80K - $120K,38
45,High School,$60K - $80K,40
42,Doctorate,$40K - $60K,35
46,High School,$40K - $60K,28
33,Graduate,$60K - $80K,22
46,Graduate,Less than $40K,38
42,Uneducated,$40K - $60K,34
47,Graduate,Less than $40K,39
47,Graduate,Less than $40K,36
46,Graduate,Less than $40K,26
26,College,Less than $40K,36
45,Graduate,$60K - $80K,41
36,High School,$40K - $60K,36
42,High School,$60K - $80K,38
37,Graduate,$120K +,25
47,Uneducated,$80K - $120K,34
38,Uneducated,$60K - $80K,19
36,High School,$80K - $120K,36
43,College,$60K - $80K,24
40,Graduate,$80K - $120K,22
39,College,$80K - $120K,36
39,Graduate,Unknown,30
43,Uneducated,$40K - $60K,29
31,Uneducated,Less than $40K,18
40,High School,Unknown,31
38,High School,Less than $40K,27
36,Post-Graduate,$60K - $80K,29
43,High School,$60K - $80K,36
41,Graduate,$120K +,31
50,High School,$120K +,37
48,College,$80K - $120K,36
44,Graduate,Less than $40K,39
42,Graduate,$80K - $120K,36
41,Uneducated,Less than $40K,31
39,Graduate,$120K +,24
45,Graduate,$40K - $60K,40
46,Graduate,$80K - $120K,35
40,Graduate,Unknown,36
48,Graduate,$80K - $120K,40
33,Post-Graduate,$40K - $60K,36
44,Graduate,Less than $40K,34
33,Graduate,Unknown,36
36,High School,Less than $40K,26
46,Graduate,$80K - $120K,27
42,Graduate,$40K - $60K,37
35,Graduate,$80K - $120K,27
36,Post-Graduate,$120K +,27
42,Graduate,Less than $40K,32
40,College,$40K - $60K,22
40,Graduate,$80K - $120K,34
40,Graduate,$80K - $120K,31
28,Graduate,Less than $40K,18
38,High School,Less than $40K,28
37,Graduate,Less than $40K,30
41,High School,$60K - $80K,30
39,Graduate,Unknown,21
26,Graduate,Less than $40K,13
35,High School,Unknown,36
46,Graduate,$80K - $120K,40
50,Post-Graduate,Less than $40K,43
38,High School,$40K - $60K,28
39,Graduate,Less than $40K,30
39,High School,$60K - $80K,36
49,Graduate,Less than $40K,44
45,Graduate,Less than $40K,38
44,Graduate,$120K +,24
49,Post-Graduate,$40K - $60K,39
41,Uneducated,$80K - $120K,31
45,Graduate,Unknown,36
35,College,$80K - $120K,27
26,High School,Unknown,36
38,High School,$80K - $120K,24
47,Post-Graduate,$40K - $60K,41
33,Graduate,Less than $40K,25
35,Graduate,Less than $40K,18
47,Graduate,$120K +,27
35,College,$60K - $80K,17
48,High School,$80K - $120K,36
36,Doctorate,$60K - $80K,17
44,Graduate,$80K - $120K,36
44,College,Less than $40K,24
36,Graduate,Less than $40K,25
34,Graduate,Less than $40K,28
49,Graduate,$80K - $120K,33
37,High School,$60K - $80K,24
32,High School,$40K - $60K,28
27,Graduate,Less than $40K,36
42,High School,$80K - $120K,37
29,Graduate,$40K - $60K,36
29,High School,$40K - $60K,13
38,High School,$40K - $60K,32
36,Graduate,$40K - $60K,18
40,Post-Graduate,Less than $40K,30
47,Post-Graduate,$60K - $80K,36
36,High School,Unknown,30
26,High School,$40K - $60K,36
50,Graduate,$80K - $120K,37
34,Graduate,$80K - $120K,21
49,High School,$80K - $120K,42
48,Doctorate,$120K +,36
32,Graduate,Less than $40K,17
38,High School,$80K - $120K,36
43,Uneducated,$80K - $120K,32
33,Uneducated,$120K +,16
37,Graduate,$40K - $60K,30
44,Graduate,Less than $40K,36
46,High School,Unknown,36
39,Post-Graduate,Less than $40K,36
38,Uneducated,Less than $40K,27
35,Post-Graduate,$40K - $60K,21
26,College,$60K - $80K,15
32,High School,$40K - $60K,20
36,Uneducated,$40K - $60K,16
48,College,$80K - $120K,38
38,Graduate,Less than $40K,36
43,College,Less than $40K,36
35,Post-Graduate,$80K - $120K,29
38,Graduate,Less than $40K,36
48,Graduate,$60K - $80K,35
43,College,$40K - $60K,23
36,Post-Graduate,Less than $40K,25
34,College,$80K - $120K,22
43,College,Less than $40K,29
48,Uneducated,$40K - $60K,36
44,Graduate,$40K - $60K,38
38,Graduate,$60K - $80K,31
32,Graduate,Unknown,26
43,High School,$80K - $120K,31
40,Graduate,$60K - $80K,27
34,High School,Less than $40K,30
33,High School,Less than $40K,25
36,Graduate,$80K - $120K,28
43,High School,$40K - $60K,33
48,College,Less than $40K,38
39,High School,Less than $40K,36
48,Graduate,$60K - $80K,42
38,Graduate,Less than $40K,32
35,Graduate,$60K - $80K,26
46,Doctorate,Less than $40K,36
48,College,$80K - $120K,36
49,Uneducated,Less than $40K,37
35,High School,$40K - $60K,27
39,Graduate,Unknown,30
50,High School,$80K - $120K,30
38,Graduate,Unknown,28
39,High School,$80K - $120K,28
32,College,$80K - $120K,36
44,High School,$120K +,37
33,High School,Less than $40K,24
47,Graduate,Less than $40K,39
38,Graduate,Less than $40K,18
36,Uneducated,$40K - $60K,28
35,Uneducated,$80K - $120K,25
38,High School,Less than $40K,27
30,Graduate,Less than $40K,17
47,Uneducated,$80K - $120K,38
37,Uneducated,Less than $40K,28
32,Post-Graduate,Less than $40K,20
44,Uneducated,Less than $40K,33
43,High School,$80K - $120K,33
49,Graduate,Less than $40K,31
26,Graduate,$40K - $60K,36
35,High School,$80K - $120K,28
37,High School,$60K - $80K,32
27,Graduate,Unknown,13
43,High School,$80K - $120K,37
49,Graduate,$60K - $80K,36
49,Uneducated,$80K - $120K,43
39,Graduate,Less than $40K,32
41,Uneducated,Less than $40K,29
32,High School,Less than $40K,36
37,Graduate,Less than $40K,36
39,High School,$120K +,34
26,Graduate,$40K - $60K,13
46,High School,Unknown,34
36,College,$120K +,29
38,Uneducated,Less than $40K,23
37,Graduate,Less than $40K,36
47,Graduate,Less than $40K,41
31,Uneducated,Less than $40K,36
34,High School,$120K +,25
33,High School,$60K - $80K,25
38,Uneducated,Less than $40K,29
39,High School,Unknown,27
39,High School,Less than $40K,36
37,High School,Less than $40K,19
41,Graduate,Unknown,30
41,Uneducated,Less than $40K,33
26,High School,$60K - $80K,15
40,Graduate,$80K - $120K,22
37,Uneducated,Unknown,28
37,High School,$60K - $80K,27
46,College,$60K - $80K,36
48,Graduate,$40K - $60K,30
34,High School,$120K +,21
36,Uneducated,$60K - $80K,16
33,Graduate,$60K - $80K,36
43,Uneducated,$40K - $60K,39
48,College,Less than $40K,36
36,Graduate,$60K - $80K,27
34,Uneducated,$40K - $60K,26
38,Graduate,$80K - $120K,19
36,High School,Less than $40K,17
45,High School,$40K - $60K,30
34,College,$40K - $60K,29
27,Graduate,$120K +,17
43,Graduate,Less than $40K,31
40,Uneducated,$80K - $120K,29
39,Graduate,$80K - $120K,31
45,Graduate,$60K - $80K,25
37,Graduate,Less than $40K,24
49,Graduate,Less than $40K,43
37,High School,$40K - $60K,31
42,High School,$40K - $60K,37
36,Graduate,$60K - $80K,30
40,Graduate,Unknown,29
43,High School,$40K - $60K,36
29,Graduate,$40K - $60K,22
42,Graduate,$40K - $60K,36
36,Post-Graduate,Less than $40K,24
36,Uneducated,Less than $40K,36
26,College,Less than $40K,36
26,Uneducated,Less than $40K,36
40,Graduate,$60K - $80K,25
38,Graduate,$40K - $60K,24
32,College,Unknown,36
29,Graduate,$80K - $120K,14
38,Graduate,$60K - $80K,25
46,High School,Less than $40K,36
42,High School,$80K - $120K,30
37,Graduate,$40K - $60K,30
35,High School,$40K - $60K,36
39,Graduate,$60K - $80K,27
37,Graduate,Less than $40K,31
34,College,$60K - $80K,23
46,Uneducated,$60K - $80K,36
36,Graduate,$60K - $80K,31
35,College,$40K - $60K,24
46,Uneducated,Unknown,33
26,Post-Graduate,$40K - $60K,36
38,Graduate,Unknown,28
37,High School,$40K - $60K,28
33,Graduate,Less than $40K,25
34,High School,$40K - $60K,29
39,Post-Graduate,Unknown,26
50,Graduate,$60K - $80K,34
32,High School,$60K - $80K,13
41,Doctorate,$80K - $120K,29
39,Graduate,$40K - $60K,27
49,Uneducated,Less than $40K,37
40,High School,Less than $40K,36
36,Uneducated,Less than $40K,36
37,Doctorate,$80K - $120K,36
36,Uneducated,Less than $40K,30
31,Uneducated,Less than $40K,24
42,High School,$120K +,35
38,High School,$60K - $80K,33
45,Graduate,$60K - $80K,32
50,Graduate,Less than $40K,37
35,High School,$80K - $120K,22
42,Graduate,$60K - $80K,34
32,College,Less than $40K,24
35,Graduate,$120K +,30
36,Uneducated,Unknown,18
42,Graduate,$40K - $60K,33
37,Graduate,Unknown,22
38,Graduate,$80K - $120K,36
29,High School,$40K - $60K,36
33,Graduate,$40K - $60K,20
49,Post-Graduate,$60K - $80K,37
44,Graduate,Less than $40K,37
33,College,Unknown,36
39,Doctorate,Unknown,36
43,College,$60K - $80K,37
36,Post-Graduate,$60K - $80K,30
30,Graduate,Less than $40K,20
26,High School,Less than $40K,13
48,High School,$40K - $60K,36
42,High School,Unknown,30
32,Graduate,$80K - $120K,26
48,Uneducated,$60K - $80K,35
48,High School,$40K - $60K,34
35,Graduate,$60K - $80K,36
37,Post-Graduate,$40K - $60K,27
36,High School,$120K +,36
26,Uneducated,$40K - $60K,15
35,Graduate,Less than $40K,22
40,Post-Graduate,$60K - $80K,36
39,Graduate,Less than $40K,32
49,High School,$60K - $80K,42
32,Post-Graduate,$60K - $80K,26
35,Post-Graduate,$80K - $120K,20
39,Graduate,$40K - $60K,31
26,Graduate,$40K - $60K,13
32,High School,$60K - $80K,26
36,High School,Less than $40K,27
45,High School,Less than $40K,37
49,Graduate,$80K - $120K,37
44,Doctorate,$120K +,32
32,High School,Unknown,22
31,Post-Graduate,$60K - $80K,22
49,Uneducated,$40K - $60K,36
32,High School,Less than $40K,22
49,Graduate,Unknown,35
30,Graduate,Less than $40K,36
34,Uneducated,$120K +,36
41,Post-Graduate,$40K - $60K,32
33,Uneducated,$40K - $60K,23
36,High School,$80K - $120K,27
35,Graduate,$60K - $80K,25
27,Graduate,$40K - $60K,36
46,High School,$60K - $80K,38
48,Graduate,$60K - $80K,33
38,Graduate,$60K - $80K,31
36,Post-Graduate,$80K - $120K,26
32,Doctorate,$60K - $80K,27
36,Doctorate,$60K - $80K,30
35,High School,Less than $40K,15
26,College,Unknown,13
32,High School,$60K - $80K,24
37,Uneducated,Less than $40K,36
38,Graduate,Less than $40K,22
35,College,$60K - $80K,36
48,Doctorate,$80K - $120K,36
29,Graduate,$40K - $60K,18
33,Graduate,$80K - $120K,28
39,High School,$40K - $60K,34
35,Graduate,Unknown,25
27,High School,Less than $40K,22
31,Graduate,$40K - $60K,25
45,Graduate,$60K - $80K,37
35,High School,$60K - $80K,36
37,Graduate,Less than $40K,31
47,College,$120K +,34
37,Post-Graduate,$80K - $120K,26
36,College,Less than $40K,27
26,High School,$60K - $80K,21
45,Graduate,Less than $40K,36
30,Post-Graduate,Less than $40K,36
39,High School,$60K - $80K,28
48,College,Less than $40K,36
39,Graduate,$60K - $80K,33
38,Graduate,$80K - $120K,24
47,High School,$120K +,41
26,Graduate,Less than $40K,20
49,College,$120K +,36
38,High School,$80K - $120K,22
30,Graduate,Less than $40K,21
35,Uneducated,$60K - $80K,21
40,Uneducated,$40K - $60K,33
30,High School,$60K - $80K,36
42,College,$40K - $60K,30
50,Post-Graduate,$40K - $60K,46
45,Graduate,$80K - $120K,36
35,Uneducated,Less than $40K,25
33,High School,Unknown,25
43,Graduate,Less than $40K,38
50,College,$60K - $80K,36
30,High School,$120K +,13
37,Graduate,Less than $40K,36
37,Doctorate,$40K - $60K,29
45,Graduate,$80K - $120K,36
43,Graduate,$60K - $80K,37
36,High School,$60K - $80K,36
36,Graduate,$80K - $120K,24
35,High School,Unknown,17
34,Graduate,Less than $40K,24
29,Uneducated,$60K - $80K,20
37,Post-Graduate,Less than $40K,26
36,College,$40K - $60K,31
35,Uneducated,Less than $40K,26
37,Graduate,Less than $40K,24
50,Uneducated,$60K - $80K,36
40,Graduate,$80K - $120K,36
39,High School,$60K - $80K,31
36,Uneducated,$60K - $80K,22
35,Graduate,$40K - $60K,36
37,High School,Less than $40K,36
39,College,$80K - $120K,24
38,Graduate,Less than $40K,33
36,Graduate,Less than $40K,24
40,Graduate,Less than $40K,24
35,College,$40K - $60K,29
40,Graduate,$80K - $120K,29
26,High School,$40K - $60K,13
46,High School,$60K - $80K,35
