name_th,name_en,juristic_id,registration_type,company_status,registered_capital,number_of_years_in_operation,registration_date,phone_number,industry_group,business_size,tsic_code_year_of_update
,"Morissette, Nitzsche and Simonis",5111987775161,21141,1,77539377,1,15/11/2022,291-778-7577,79324,257435,21941
,Kozey-Rempel,4211275475344,86111,0,61260520,3,17/11/2020,569-962-8721,60292,389899,88072
,Runolfsson-Schaefer,8568504413802,79571,1,5930489,3,05/11/2020,970-596-2333,61502,823419,8386
,Reichel-Lynch,69535162545,36924,1,91256922,3,07/10/2020,419-838-2586,15681,540853,87137
,Dibbert and Sons,6171647204196,79743,1,62066725,3,18/03/2020,221-963-5524,19167,757790,64913
,Rath Group,6708800820315,48616,1,15054693,3,15/05/2020,632-815-1817,15120,780661,72732
,Murazik-Fisher,9461215615356,86934,0,56323231,2,03/05/2021,424-804-7125,11857,721643,20188
,Waters-Quigley,2872229130864,23671,0,6420791,0,04/04/2023,306-254-7357,53039,35959,74456
,"Deckow, Fahey and Schowalter",8354059768497,19130,1,81742118,0,22/07/2023,979-417-1771,19388,896820,82406
,Ritchie LLC,3435510781772,59306,0,32582755,0,31/01/2023,165-934-0281,52091,924554,83856
,Ward-Hilll,4338900710298,82052,0,34282515,1,17/02/2022,183-647-5734,28674,105595,35338
,Corwin-Rath,3641015990607,98735,0,45957721,3,07/11/2020,768-319-3937,38257,150411,72581
,Gusikowski and Sons,6015958804432,98390,0,38149971,3,26/12/2020,738-470-1926,88643,128582,12215
,"Gleason, Kunze and Rutherford",4570606384360,40832,0,37957070,3,06/04/2020,535-671-0128,56342,484100,52840
,"Medhurst, Lebsack and Nikolaus",3102748870299,42816,0,65340462,0,17/06/2023,942-197-4234,17684,485001,53443
,Dach Inc,2196261548528,99695,1,29801032,0,17/01/2023,413-576-1407,16222,601600,39325
,Gottlieb-Lind,6847675075670,39630,1,26542053,3,27/09/2020,780-407-4659,35858,968986,24865
,Terry Group,1989842871154,38143,1,40559263,0,22/06/2023,836-776-4445,88152,915955,17966
,Reichel and Sons,8232508421086,20087,1,79279730,3,14/12/2020,940-549-6771,43439,548379,85417
,"Buckridge, Bradtke and Simonis",5795712938173,61170,0,41761020,1,08/05/2022,379-453-4506,96681,491987,68294
,"Parker, Buckridge and Welch",1818693124470,19190,0,80850737,3,22/03/2020,161-888-2050,89281,570009,8502
,Langosh Group,3692878406900,72135,1,75475184,0,02/02/2023,803-799-1181,35014,654164,24101
,"Runte, Hickle and Hirthe",4665713143239,52050,0,87411916,3,19/07/2020,779-697-6973,11168,971501,79905
,Huels and Sons,6590837553,87434,1,64294293,0,08/06/2023,428-409-8278,51551,264789,37236
,Labadie-Friesen,5172077047378,40599,1,58982858,1,08/10/2022,487-427-2224,31530,507731,13354
,Cronin-Ortiz,5197816787476,18775,0,70315900,3,10/09/2020,320-229-7376,49461,84381,97184
,"Mante, Kshlerin and Klein",320473706252,62119,1,44420554,2,21/04/2021,537-666-0786,42537,422057,17768
,"Harris, Bode and Raynor",7634828677873,91846,0,14806130,3,04/07/2020,881-134-4913,54678,790107,95518
,"Jenkins, Schneider and Mertz",7123186898368,97897,1,9012089,0,28/02/2023,898-416-9350,66196,51865,74089
,Corkery and Sons,4897725169969,81597,1,66891432,1,15/04/2022,852-498-1894,56777,53977,53143
,Wyman-Miller,327016854447,26614,1,45612593,1,08/05/2022,362-139-5435,74639,251827,14202
,Green-Lang,422323914745,78258,1,91504432,3,11/11/2020,134-888-4539,18186,997513,21088
,Tillman-Auer,8871391653611,41807,1,54755035,3,14/08/2020,539-715-9918,38237,299768,22132
,Reichel and Sons,3941430788386,14837,1,41266792,1,15/03/2022,323-196-0921,53299,168671,24728
,Buckridge-McGlynn,7649661531842,90391,1,24842005,2,05/07/2021,823-132-2634,56405,671615,10119
,Considine and Sons,5908178220950,11150,0,51729309,0,06/06/2023,865-939-5756,4729,354970,43571
,"Weimann, Lynch and Boehm",1072967421043,16513,0,43352356,1,20/01/2022,660-769-3316,82300,984919,46624
,Bradtke Group,6673016333908,47671,1,79262938,3,15/04/2020,760-931-4277,16644,546664,59045
,Pfeffer-Watsica,8515340637345,45024,1,64467537,2,07/04/2021,407-483-3821,23630,643265,14545
,Ledner Inc,4654558477924,20777,0,70899616,3,11/10/2020,850-468-1845,67358,839542,36498
,Goyette Group,697424410401,55071,1,95516937,3,22/12/2020,454-866-5693,28548,188089,31139
,Rohan Inc,6382193376194,24299,0,37921163,2,08/11/2021,275-241-4683,78499,742339,80083
,Nolan-Lebsack,7821518559429,31467,0,46944275,2,21/06/2021,445-207-8830,40644,203925,96962
,Murray-Upton,4279812531443,46370,0,43122815,2,01/12/2021,695-913-6164,57227,253652,94959
,Quitzon Inc,9644694577837,94270,0,9219708,0,23/04/2023,450-854-2566,77998,340797,53367
,Waelchi LLC,5646227371677,61072,0,17454317,0,07/07/2023,570-253-8696,76233,145267,38218
,Hoeger-Hoppe,411157138815,98176,0,86035724,1,30/12/2022,937-196-1672,34540,534800,67466
,Willms-Hintz,2357508292960,86282,1,2969378,1,28/11/2022,880-648-4570,75478,419050,35853
,"Stehr, McCullough and Ward",9017149293085,99531,0,3206997,3,03/05/2020,930-400-8724,71260,866871,71388
,Donnelly and Sons,7225105279683,13838,1,15399803,1,21/10/2022,199-150-2019,50651,119295,2781
,"Nitzsche, Stroman and DuBuque",8853840708117,44656,0,58999924,2,23/03/2021,306-269-4623,12642,735829,45539
,"Frami, Parker and Langosh",8074262267607,59479,1,66624430,3,15/11/2020,836-445-5398,67049,46582,35133
,"Bogisich, Emard and Beatty",5588281852474,62305,1,60698588,0,13/01/2023,772-228-7609,35445,240567,91653
,"Rodriguez, O'Hara and Dach",4114036341466,69313,1,60241490,2,11/11/2021,165-133-3078,40431,843349,57769
,MacGyver-Marks,6095683564987,60752,0,10488147,3,23/04/2020,379-238-9685,78051,22353,60840
,Schultz Inc,2281610649193,57343,1,43618028,3,28/09/2020,101-136-5370,85198,418676,15112
,Bayer Inc,5806838972378,74745,1,73440447,0,11/08/2023,776-480-0581,49966,130917,35817
,Beier LLC,3932431662339,23877,0,56194810,3,14/10/2020,217-434-8905,39963,59616,7472
,Bogan-Cronin,6679298919054,61415,0,8324734,2,14/11/2021,713-183-2989,94745,681480,68329
,King and Sons,2134662119724,16593,1,94925947,1,21/03/2022,117-733-9254,92074,256049,44244
,Reynolds-Barton,7051549998901,53134,1,59244105,1,29/12/2022,846-552-0982,49267,456828,29403
,Monahan-Harris,9339081188207,61419,1,60221827,0,05/08/2023,550-256-1208,92691,758217,64699
,Abshire Group,4460072204500,86255,1,4622941,2,28/07/2021,294-338-4701,21194,321697,60366
,Lang-Tillman,7045496447918,72866,0,77190021,2,11/10/2021,270-845-1054,56972,556835,7637
,Daugherty-Konopelski,6418261365091,13735,0,50370897,0,06/02/2023,712-923-0332,75127,179601,4142
,"Wilderman, Murphy and Daniel",6216222783173,86806,0,60054834,3,15/05/2020,234-435-7770,80980,302959,26457
,"Marvin, Russel and Toy",6077475043306,22559,1,38272707,2,18/04/2021,269-718-1508,40255,991804,71163
,Wintheiser-Kilback,1717534774552,53063,0,2663144,1,22/06/2022,622-425-5058,2153,468311,14412
,Renner-Langworth,6308996519191,89687,0,37492205,1,01/05/2022,219-772-2528,37112,39683,34822
,Gleason Group,817572121766,28673,0,49487293,3,26/09/2020,297-952-3026,14169,363224,63151
,"Fadel, Waelchi and Dibbert",2372851562791,34528,1,85029450,2,25/02/2021,343-110-9391,66610,515646,78672
,Abshire-Bradtke,4531777614357,44059,1,23114713,3,29/08/2020,567-895-9038,9084,944036,213
,Weber-Cruickshank,5926791078170,99075,0,88461320,3,21/12/2020,919-197-3975,62671,49544,70776
,Hintz Group,1317762161198,28217,0,97885958,0,22/01/2023,364-386-1827,34331,848343,48810
,Corwin-Collins,2068276512444,59636,1,50456019,2,25/07/2021,597-998-3327,48967,111558,41729
,"Hegmann, Nolan and Deckow",5732517642430,75769,0,29698715,1,15/01/2022,317-959-5349,91220,115848,17250
,Grimes-Bradtke,875192911073,30997,0,84864235,2,28/04/2021,382-709-3078,53284,90129,26013
,Nolan-Dickens,4478887460773,16804,1,68324338,1,14/02/2022,752-512-1665,67012,864653,15654
,Bashirian-Miller,7305626096898,25831,1,37388302,1,24/02/2022,442-870-4281,54699,252254,82844
,"Swaniawski, Brakus and Watsica",2446979129490,59725,1,90349836,3,25/03/2020,813-885-0338,44726,376695,82189
,Conn Inc,1960004719361,49522,0,26919102,3,07/09/2020,781-694-4693,2300,970680,27260
,"Corwin, Kshlerin and Mohr",7933532785084,85885,1,71958188,3,10/07/2020,859-954-4883,69978,955325,66943
,"Conroy, West and Zulauf",5807174942556,17875,1,59353086,3,17/06/2020,354-647-7227,58384,234915,43582
,"Langworth, Cummerata and Sipes",5206087035051,72776,1,53712349,0,11/02/2023,437-166-8764,53680,658906,74850
,Conn and Sons,4891464288676,74064,1,27066264,3,31/07/2020,303-178-4094,87614,832213,71071
,"Lindgren, Greenholt and Funk",2934375498958,68931,1,41047554,1,12/11/2022,635-631-0412,68281,667950,23017
,Wintheiser-Kessler,7195037010295,10655,1,66642261,1,28/06/2022,675-821-4396,68991,681586,24140
,Bartoletti-Parker,7083059759242,52544,1,28740539,1,28/06/2022,473-381-5841,3983,670673,50277
,Dietrich LLC,6944686313161,85188,1,77669553,1,05/02/2022,368-666-9522,61681,103818,80720
,"Muller, Collins and Witting",8267060506970,65745,1,33456528,0,21/01/2023,123-439-7566,57782,550390,47597
,Murray Inc,4673432562123,97710,0,12926341,3,19/11/2020,895-437-2106,26798,339757,2113
,"Jenkins, Schultz and Lesch",7644682285097,85925,1,91450969,1,10/08/2022,811-421-3454,75307,172259,54890
,Prohaska LLC,3756368367910,72397,1,90609938,2,11/09/2021,552-104-5930,50001,559330,58578
,Stark Group,736475862353,31081,0,54315311,3,12/07/2020,581-726-0192,74299,776433,79361
,Kshlerin Inc,5122443250638,86049,1,67601406,0,22/04/2023,140-571-9601,39439,516091,55513
,Cormier-Hudson,3273982636162,51449,0,11599067,0,14/05/2023,485-977-5841,80987,867930,97319
,Kihn-Collins,8236885828590,21273,0,58930272,1,19/05/2022,733-658-2660,41009,620154,10055
,"McCullough, Osinski and Erdman",6100421073865,69452,1,70130539,2,01/10/2021,193-441-6398,58426,472865,96205
,Kling-Kozey,3105325512435,98404,0,42131072,0,24/08/2023,360-745-8168,3206,884455,75679
,Schaefer-Bauch,8662498328152,19835,0,65932861,0,30/06/2023,586-962-8396,79513,645243,38119
,White Group,9972864267323,80064,0,25384249,1,19/03/2022,829-931-4066,65706,316299,14953
,Gleichner Inc,1838865192946,33114,0,5799805,3,27/03/2020,711-247-0603,18756,571908,28676
,Gottlieb Group,1955897673125,75300,1,34242049,3,26/02/2020,322-124-4251,53563,44255,27514
,"Yost, Wilkinson and Johnston",2353394075689,40755,0,10639194,1,21/08/2022,104-683-1206,28730,681288,1485
,"Donnelly, Morissette and Zboncak",4458080406197,10853,1,61708635,1,12/12/2022,250-992-3954,10939,350913,538
,Herzog Group,2557881265859,11144,0,72484920,2,09/08/2021,239-207-2885,54427,457013,62093
,"Berge, Jaskolski and Koss",762597648107,85271,0,26251758,1,17/10/2022,342-532-8366,59918,203829,49826
,Waelchi-Bergstrom,5639572217778,33691,0,77065780,2,28/01/2021,362-998-5663,13336,107745,47601
,"Weimann, Schuster and Fritsch",9017911351540,69189,0,76184558,1,01/06/2022,334-815-6785,58911,997288,36327
,Lynch Group,4443360043969,78146,1,47737994,0,16/02/2023,784-856-9205,59678,559550,46189
,Breitenberg LLC,1134112314346,41911,1,77538668,3,27/05/2020,478-759-1729,61978,514288,66639
,Johns Group,5840066671102,99384,0,23196574,3,04/02/2020,124-416-9529,14523,694916,32859
,Denesik-Bernhard,5629759601349,87675,0,26903328,2,02/02/2021,388-331-8068,13676,996083,45286
,"Rath, Medhurst and Dickens",7234242555379,72553,1,57964637,3,17/11/2020,808-584-5582,91676,521876,78678
,"Glover, Gleason and Schamberger",1308874411858,76210,1,6992690,1,12/03/2022,366-323-8801,79487,268101,97910
,"Schuster, Jacobs and Sawayn",7918861095968,77722,1,97426231,1,04/01/2022,900-908-9615,5935,763849,16032
,Beatty Group,651587751407,80975,1,61346404,3,02/07/2020,726-295-0813,90575,110307,13390
,"Cruickshank, Schuppe and Zulauf",3441247349493,22255,1,82571569,3,11/01/2020,812-746-0410,76772,408794,26500
,Lindgren-Auer,5613612833488,29857,1,23507487,0,27/01/2023,542-432-3274,63360,904812,59154
,"O'Reilly, Jacobi and Kihn",1346917935405,17276,0,57281041,1,27/06/2022,771-441-9123,76158,659637,12606
,Abbott-Wintheiser,8866552650863,11503,0,35346271,2,20/06/2021,950-563-4367,52726,667028,79765
,Parisian Inc,1673620164079,54391,1,8772780,3,08/11/2020,744-272-0433,263,430364,87246
,Torp-Lockman,4514760860747,65133,0,31108718,2,26/02/2021,616-688-1056,11336,564044,1284
,Harris-Koss,537455268756,56897,1,24001494,0,16/07/2023,837-404-1116,19189,464540,78971
,Schowalter-Hodkiewicz,3089754357196,59881,1,75332031,1,11/04/2022,177-376-3160,76104,624133,17100
,Jakubowski-Rippin,3205218187334,66113,1,74768129,3,09/02/2020,732-439-9763,80713,131946,76603
,Purdy LLC,2368887595977,11260,0,45601426,3,21/06/2020,330-141-7355,58468,426726,97921
,"Walker, Lowe and Bernhard",1665575621383,78328,1,71396362,1,04/10/2022,735-659-6919,613,329743,76721
,Watsica Group,7527442310521,59705,0,44999772,3,01/10/2020,774-702-3461,52926,894593,39311
,Emard Group,433755177395,95815,1,75902480,3,14/02/2020,463-561-0953,75501,307818,4066
,"Watsica, O'Hara and Donnelly",8563041275084,15870,0,58958823,3,30/09/2020,540-409-2509,38887,258338,41724
,Williamson-Wolff,8194259327583,38754,1,88099992,2,11/09/2021,949-659-9404,14659,608024,67382
,"Larson, Lesch and Brown",2125981763279,14423,0,89382588,1,01/09/2022,453-220-8034,4089,399251,74862
,"Frami, Russel and Goodwin",8008321035064,12347,0,70814738,2,24/01/2021,489-193-6834,45426,646664,61037
,Schmidt-Parisian,4764377284317,69171,0,27912393,1,30/11/2022,930-928-8692,8959,287388,29299
,Stokes Inc,6215401981824,21633,1,74267837,0,17/03/2023,716-104-2887,97741,38337,16239
,Crooks-Powlowski,1544150376259,57096,1,41449262,0,28/08/2023,459-591-6198,8937,171612,59081
,Daniel-Hagenes,1606018331000,89416,0,19487730,0,05/04/2023,215-277-2122,58846,448812,45632
,Jakubowski and Sons,1516399050561,76758,1,47607439,3,03/02/2020,512-921-1080,61354,16014,53124
,"Wyman, West and Murray",4770965691561,91443,1,33398866,0,26/06/2023,599-939-5429,61896,933840,54384
,Crist-Gleichner,5150720377251,10930,1,43869322,3,18/02/2020,495-555-7105,57640,584286,16913
,"Reichel, Prohaska and Gibson",4029485051764,43045,0,22412628,3,18/02/2020,783-519-6495,11158,986082,73063
,Hyatt-Zulauf,5376022340402,37090,1,93174980,3,15/08/2020,688-986-7204,79908,804881,3026
,Hills-Friesen,3816558610973,75995,1,17292973,0,28/07/2023,355-879-9159,76299,10918,83551
,Stark-Wilkinson,5454522080272,73811,1,80234152,2,03/06/2021,782-784-6865,55029,756089,98555
,Roob-Walsh,8064610378755,18358,1,32714470,0,14/04/2023,993-760-6468,86141,785930,19426
,O'Reilly-Cruickshank,4020735169198,50647,1,10235376,1,30/01/2022,886-357-6339,41685,337636,81621
,"Muller, Rohan and Fisher",9667961065817,39582,0,80998455,2,03/05/2021,854-395-4414,61525,862375,13204
,O'Keefe and Sons,3897927455230,30434,1,1875771,1,29/11/2022,459-518-4254,4537,270934,13062
,Senger-Bergnaum,888718791648,42338,0,59985314,0,18/02/2023,309-388-9001,6300,30244,34522
,"Kub, Brown and Adams",3403140307014,58887,0,78288966,1,05/01/2022,903-435-3694,35222,377227,2599
,Ondricka and Sons,7762670717967,42934,1,9938446,0,26/01/2023,140-431-0999,88473,820885,59366
,"Bartoletti, Hills and Borer",6426221502797,62158,0,96438975,3,20/11/2020,865-524-3338,58957,278710,60339
,"Hills, Williamson and Steuber",2427259560503,20006,0,78155017,1,15/01/2022,749-405-0963,91192,625779,81498
,Swaniawski and Sons,2436451065511,34891,0,59940881,3,07/11/2020,294-242-7752,76693,42160,80609
,Zemlak and Sons,5971840378129,83039,1,57378555,2,10/07/2021,313-324-9963,17121,64719,26262
,"Jenkins, Barrows and Kassulke",8795853903144,34535,1,63738034,2,12/01/2021,499-429-4499,78466,878460,53689
,Feest and Sons,6090192260569,75737,1,91787796,0,23/05/2023,575-618-4924,82262,744069,52984
,Breitenberg Group,5387949759366,91997,1,81458443,3,17/02/2020,898-643-4602,97699,75628,93049
,"Balistreri, Schaefer and Torp",5344965154262,35130,1,73688510,1,09/11/2022,730-928-1918,25637,11862,1994
,Abbott and Sons,5225966696369,13862,0,13111324,3,31/03/2020,343-446-6700,63421,531227,68852
,Schinner and Sons,479283328133,54790,1,59771474,1,10/02/2022,681-874-2259,15212,307012,54358
,"Bradtke, Rempel and Lang",7772578770813,19492,1,61257672,3,13/10/2020,689-925-0406,52137,166107,24092
,Klein Group,5564852815224,84460,0,28852065,2,04/03/2021,829-875-4543,29732,744734,60099
,Olson LLC,7358348461494,21303,1,11606243,0,09/03/2023,870-856-4471,93603,644968,78338
,Smitham-Shanahan,1280479934313,28137,0,78260264,3,20/10/2020,208-199-7467,88430,543266,45767
,Vandervort-Daugherty,1011134748374,48413,0,74242180,0,22/08/2023,916-969-6621,92637,333420,82488
,Koch-Abernathy,5778194729726,81518,0,71185578,3,12/09/2020,452-313-5842,7706,420945,4671
,"Schmidt, Aufderhar and Feeney",1873045001466,37232,0,73976419,1,24/07/2022,429-534-9535,44274,382531,91756
,"Windler, Wyman and Purdy",9254667045550,50035,0,13084467,2,20/12/2021,334-495-0531,29261,411459,92082
,"Hammes, Luettgen and Boehm",9299394014644,54703,1,37671233,2,08/03/2021,777-980-0065,40725,588006,39647
,Fisher and Sons,5850091703524,24642,1,87653272,0,07/03/2023,667-315-9799,70338,328422,87387
,Homenick Group,4390529577991,33177,1,78349160,1,18/08/2022,816-332-5604,12057,453763,42824
,"Abshire, Stiedemann and Robel",8728089222817,93690,0,57394781,2,21/11/2021,968-890-0560,53048,968525,71449
,Bernier-Friesen,3920360826527,56737,1,62447592,3,21/04/2020,213-180-6505,19271,721286,14191
,Stanton-Stokes,9810144731119,12306,0,4737354,0,05/07/2023,755-807-4143,13126,801720,47137
,"Weissnat, Wuckert and Runolfsson",1861707930979,70763,1,95770670,1,17/08/2022,625-843-0920,41875,721140,379
,Rodriguez-Quitzon,6852916861924,50549,1,74394631,1,12/06/2022,744-657-5542,36442,871626,30569
,Moore Group,7324504796675,44027,1,83211495,3,12/07/2020,614-199-0110,29827,288282,36738
,"Jacobi, Langosh and Reinger",7235785365498,30064,1,33260995,3,28/05/2020,586-404-4314,41118,210151,34640
,Balistreri-Bogisich,5731797677753,49984,0,91563575,3,26/10/2020,349-376-7681,97409,200370,29117
,Collins-Yundt,7714285987466,49652,1,76020218,0,12/05/2023,566-223-9875,14149,954394,32825
,Hessel-Harber,8537976711359,52534,0,5101307,0,10/07/2023,281-449-6529,66660,930315,89033
,Rau-Steuber,9042125891980,46921,1,27523592,0,28/02/2023,996-172-6976,92939,898475,70563
,Paucek Group,806176050551,21182,0,13175319,2,04/11/2021,351-936-8398,64046,780824,34840
,Kiehn-Will,8517035731065,60222,1,78085999,1,10/07/2022,152-687-2604,97908,17387,21443
,Hessel-Lowe,5570154207957,82337,1,12652800,2,25/08/2021,355-840-5221,11584,985247,36923
,Hartmann-Rutherford,87269462526,26234,0,20399644,2,17/05/2021,514-345-7488,84369,939256,49612
,Wisozk and Sons,8228655531797,53404,1,98468313,0,18/02/2023,569-797-4310,43825,197732,5860
,Kunde Inc,6245095507497,83112,1,75620726,3,30/01/2020,616-384-9283,31868,206424,45577
,Roob-Tromp,471715524266,63592,0,13852889,3,30/07/2020,165-745-7110,42823,696970,75647
,Lowe-Padberg,8904640713894,64053,0,39329261,1,21/05/2022,664-407-4164,90557,460593,92609
,Hayes-Wisoky,1072528523565,18048,1,93743375,2,25/12/2021,532-380-5485,93238,1368,7202
,Olson-Kiehn,1577250876484,77475,1,2793623,2,22/01/2021,962-885-3613,77584,687635,77653
,Gorczany Group,3778000152238,39331,1,47381830,2,27/05/2021,387-834-4411,81442,22172,62609
,Will-Hoeger,5723716413372,44505,1,98129990,0,07/02/2023,721-496-7970,51473,424198,53050
,"Lehner, McClure and Hane",8013373893623,74922,1,52539791,0,19/07/2023,227-766-9177,28387,52508,50578
,Hane and Sons,676486523596,28307,1,19768221,0,26/06/2023,143-913-0316,49841,265236,88751
,Towne-Raynor,8679829834081,99583,0,54596991,0,16/03/2023,283-457-9249,28472,345433,37820
,Ritchie and Sons,7709247719936,31012,0,53728796,3,29/01/2020,283-642-4153,77283,103054,10195
,Mante and Sons,8938462865557,59322,0,97101332,0,14/07/2023,246-334-9883,91683,23164,38319
,Lynch LLC,7350959218692,66045,0,98952066,3,08/03/2020,470-340-9334,81764,94407,13587
,Rohan and Sons,4298457039206,40426,0,34155636,3,25/08/2020,594-157-5763,8338,204745,60510
,Upton-Jacobson,7595937154440,90875,1,76525364,2,16/12/2021,953-651-1102,37482,982942,4663
,"Turcotte, Runolfsson and Shields",7215164656420,48633,0,17618133,0,22/08/2023,115-855-1216,94453,205495,87684
,Bogisich-Hackett,1494422151040,45889,0,4582184,2,27/04/2021,897-569-9522,20426,216614,60489
,"Lehner, Kuvalis and Walker",7483809359878,23727,1,43879623,0,31/05/2023,205-311-4392,77575,2242,78285
,Feeney and Sons,6924694396076,57303,1,5656479,2,01/12/2021,867-281-0356,57084,796656,78691
,"Zulauf, Morissette and Connelly",743506512618,85668,0,82551391,2,14/01/2021,138-544-1860,94377,685366,28903
,Lockman-Oberbrunner,5600039840288,77249,1,80419192,2,01/04/2021,118-947-8268,33716,366915,92035
,Konopelski-Koelpin,8024734867606,96662,1,8779492,1,06/07/2022,439-919-6417,39196,871658,90092
,"Feil, Gulgowski and Larson",4521526869835,24102,0,9880432,1,27/02/2022,725-680-9213,69694,626052,17309
,Smith Group,2428102628381,65245,0,88885512,2,24/05/2021,980-248-0374,4431,260479,27287
,Pacocha-Kris,8019628516141,34649,1,88987889,2,05/11/2021,748-670-9323,54494,839335,12688
,Pacocha-Konopelski,2418245740452,83719,0,18860445,0,06/01/2023,209-882-5483,35069,847323,81174
,"Harris, Carroll and Spinka",1595546858052,61862,1,90774448,3,10/02/2020,143-625-8046,55175,603267,56080
,"Stehr, McDermott and Mills",8610127090613,67447,0,43017452,1,07/07/2022,400-229-9521,99703,505471,7981
,"Schowalter, Kilback and Hamill",531687385631,74892,1,55845110,1,18/05/2022,119-134-1818,87937,755362,96569
,Stoltenberg LLC,823965002627,59820,0,26750451,0,28/06/2023,640-707-9315,11343,175254,35085
,Williamson LLC,246500173094,62710,1,18989210,1,06/06/2022,913-206-6389,50267,970445,98846
,Lebsack-Donnelly,1878928225499,19072,1,96042286,0,10/08/2023,497-424-4438,44026,575831,50985
,Shields-Mraz,289651871765,42315,0,10062501,1,18/10/2022,817-526-1463,4540,315146,80167
,"Block, Orn and Murray",4703315901029,89190,0,40549328,3,22/04/2020,651-942-0488,11576,359535,70861
,"Crist, Weimann and Turner",2175131512343,18278,1,32198862,2,31/07/2021,976-743-6997,65106,289196,55049
,"Beatty, Osinski and Jacobs",6043489349194,39200,1,29797831,0,24/08/2023,672-716-3563,2642,903329,21467
,"Haag, Keebler and Kiehn",1133603407756,71744,1,88501448,0,29/01/2023,326-895-8931,73689,624574,66248
,"Blick, Howe and Harber",6475378364053,55508,0,59312836,2,30/07/2021,888-458-6044,39337,341606,41802
,Hodkiewicz-Barrows,4750123813860,52324,0,74200529,1,14/11/2022,593-977-3984,66072,477968,27239
,Littel-Koss,6709920286721,60560,0,58014506,3,06/09/2020,552-707-8929,98135,911324,49034
,Hansen and Sons,3984497644244,87530,0,3496683,3,28/09/2020,460-506-1741,24938,507844,30855
,Schaefer-Haag,5915215516743,18763,0,72933382,3,27/08/2020,995-989-5894,26972,379076,24420
,Wolf Group,16719052797,45158,1,49327442,3,23/05/2020,397-679-0555,80252,578819,52148
,Effertz-Ullrich,5110329685647,52403,0,96296274,0,03/01/2023,942-484-1127,9616,766554,55126
,"Crona, Bosco and Wiza",4092151661608,38819,0,28898700,1,21/05/2022,103-728-7597,60243,161163,58722
,Jerde Inc,4891648068488,96668,0,12604759,2,27/10/2021,999-707-5211,14605,450249,71166
,"Beier, Rempel and Koch",4220380467502,70317,0,28528568,2,23/02/2021,518-276-2919,78442,685648,35994
,Tremblay Inc,831015591331,75286,0,56420442,1,28/10/2022,202-379-1093,19151,266940,56377
,Sauer-Price,4685239114805,59354,0,48570795,3,02/09/2020,217-200-0213,91834,206553,57180
,"Ernser, Parisian and Beier",8725314860880,66191,1,63270689,1,13/05/2022,938-946-0318,22054,937381,11490
